COD_APO;COD_ENDOSSO;COD_ITEM;DATA_COMP;COD_END;COB_FUNDO;COD_MOD;ID_BEM;COBERTURA;CULTURA;MUNIC;UF;INICIO_VIG;FIM_VIG;TIPO_FRANQ;VAL_FRANQ;AREA_SEG;IMP_SEG;PREMIO;PREMIO_SUB;ORIGEM_SUB;CORRETAGEM;PERC_CARR;PERC_DESC
292582168;4257666;6889891;2021.0;0.0;S;60.0;60.0;999.0;99999999.0;44372.0;MT;20200903.0;20210903.0;1.0;10.0;0.0;210000.0;452.94;0.0;00;7033.71;20.0;0.0
292582168;4257666;6889896;2021.0;0.0;S;60.0;60.0;100.0;99999999.0;44372.0;MT;20200903.0;20210903.0;1.0;10.0;0.0;450000.0;3535.82;0.0;00;7033.71;20.0;0.0
292582168;4257666;6889896;2021.0;0.0;S;60.0;60.0;999.0;99999999.0;44372.0;MT;20200903.0;20210903.0;1.0;10.0;0.0;90000.0;194.12;0.0;00;7033.71;20.0;0.0
292556275;4219017;6858237;2021.0;0.0;S;60.0;60.0;100.0;99999999.0;32762.0;SP;20200120.0;20220120.0;1.0;10.0;0.0;61500.0;1371.5;0.0;00;445.74;20.0;0.0
289707920;509905;1300765;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20200701.0;20200731.0;9.0;0.0;0.0;10220.0;5.49;0.0;00;1.65;0.0;0.0
296679983;8641366;20084534;2021.0;0.0;S;50.0;10.0;100.0;99999999.0;22992.0;RS;20190819.0;20200707.0;9.0;0.0;0.0;33000.0;113.19;0.0;00;22.63;0.2;0.0
296679983;8641366;20084552;2021.0;0.0;S;50.0;50.0;100.0;99999999.0;2091.0;GO;20190810.0;20200809.0;9.0;0.0;0.0;263800.0;1564.33;0.0;00;312.86;0.2;0.0
296679983;8641366;20084618;2021.0;0.0;S;50.0;10.0;100.0;99999999.0;43287.0;SC;20190819.0;20200803.0;9.0;0.0;0.0;35287.2;121.03;0.0;00;24.2;0.2;0.0
296679983;8641366;20084666;2021.0;0.0;S;50.0;10.0;100.0;99999999.0;32865.0;RS;20190815.0;20201012.0;9.0;0.0;0.0;648000.0;2222.64;0.0;00;444.52;0.2;0.0
289707920;509917;1470946;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20200901.0;20200930.0;9.0;0.0;0.0;39710.0;20.65;0.0;00;6.2;0.0;0.0
289707920;509899;1239916;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20200601.0;20200630.0;9.0;0.0;0.0;125666.0;52.28;0.0;00;15.68;0.0;0.0
289707920;509917;1470808;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20200901.0;20200930.0;9.0;0.0;0.0;96981.0;50.43;0.0;00;15.13;0.0;0.0
296678543;8639680;14463257;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;49566.0;SC;20210603.0;20220603.0;9.0;0.0;0.0;43600.72;211.46;0.0;00;52.87;25.0;0.0
296678543;8639680;14463257;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;49566.0;SC;20210603.0;20220603.0;4.0;0.0;0.0;43600.72;211.46;0.0;00;52.87;25.0;0.0
296678543;8639680;14463257;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;49566.0;SC;20210603.0;20220603.0;9.0;0.0;0.0;600.0;211.46;0.0;00;52.87;25.0;0.0
296678543;8639680;14463257;2021.0;0.0;N;80.0;99.0;999.0;99999999.0;49566.0;SC;20210603.0;20220603.0;4.0;0.0;0.0;600.0;211.46;0.0;00;52.87;25.0;0.0
296679983;8641366;20085119;2021.0;0.0;S;50.0;60.0;100.0;99999999.0;50304.0;MG;20190810.0;20200809.0;9.0;0.0;0.0;50000.0;493.0;0.0;00;98.6;0.2;0.0
289707920;509904;1269565;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20200701.0;20200731.0;9.0;0.0;0.0;35494.0;19.08;0.0;00;5.72;0.0;0.0
296679983;8641366;20134058;2021.0;0.0;S;50.0;60.0;100.0;99999999.0;4312.0;PR;20190824.0;20200823.0;9.0;0.0;0.0;47495.77;468.3;0.0;00;93.66;0.2;0.0
296679983;8641366;20134008;2021.0;0.0;S;50.0;60.0;100.0;99999999.0;32944.0;MG;20190824.0;20200823.0;9.0;0.0;0.0;42983.58;189.98;0.0;00;37.99;0.2;0.0
