COD_APO;COD_ENDOSSO;COD_ITEM;DATA_COMP;COB_FUNDO;COD_MOD;ID_BEM;COBERTURA;CULTURA;MUNIC;UF;INDENIZ;DESP_SIN;EV_GER;VAL_FRANQ;D_AVISO;D_LIQ;D_OCORR_IN;D_OCORR_FI
292750154;4453571;7182988;2021;N;10;99;50;11310002.0;14955.0;RS;545.4;545.4;99;0.0;20210318;20210512;20210201;20210201
292750243;4453664;7183077;2021;N;10;99;50;11310002.0;44358.0;MT;257661.15;1847.9;99;0.0;20210111;20210705;20201022;20201022
292750361;4453786;7183195;2021;N;10;99;50;11310002.0;38735.0;RS;865.4;865.4;99;0.0;20210115;20210510;20210113;20210113
292750444;4453877;7183278;2021;N;10;99;50;11310002.0;46758.0;TO;382132.2;807.9;99;0.0;20210111;20210601;20201105;20201105
292750444;4453877;7183278;2021;N;10;99;999;11310002.0;46758.0;TO;2139.0;2139.0;99;0.0;20201120;20210126;20201105;20201105
292750451;4453884;7183285;2021;N;10;99;50;11310002.0;2620.0;PR;738.25;738.25;99;0.0;20210112;20210218;20201021;20201021
292750653;4454092;7183487;2021;N;10;99;50;11310002.0;52041.0;RS;11407.49;786.95;99;0.0;20210323;20210601;20210201;20210201
292750669;4454108;7183503;2021;N;10;99;50;11310002.0;35817.0;SP;0.0;0.0;99;0.0;20210303;00000000;20210115;20210115
292750697;22483864;7183531;2021;N;10;99;50;11310002.0;37138.0;SP;36187.23;0.0;99;0.0;20210309;20210723;20210210;20210210
292750759;4454205;7183593;2021;N;10;99;50;11310002.0;38735.0;RS;0.0;0.0;99;0.0;20210203;00000000;20210125;20210125
292750811;4454259;7183645;2021;N;10;99;50;11310002.0;16434.0;SP;0.0;0.0;99;0.0;20210226;00000000;20210201;20210201
292751010;4454638;7183844;2021;N;10;99;50;11310002.0;34942.0;MS;831.5;831.5;99;0.0;20201202;20210212;20201110;20201110
292751037;4454673;7183871;2021;N;10;99;50;11310002.0;30472.0;PR;0.0;0.0;99;0.0;20210224;00000000;20210203;20210203
292751056;4454705;7183890;2021;N;10;99;50;11310002.0;4800.0;SP;29070.0;0.0;99;0.0;20210329;20210608;20210305;20210305
292751206;4454883;7184040;2021;N;10;99;50;11270001.0;52663.0;RS;1053.99;1053.99;99;0.0;20210114;20210315;20201028;20201028
292751416;4455146;7184250;2021;N;10;99;50;11310002.0;22521.0;PR;612.49;612.49;99;0.0;20210209;20210329;20210111;20210111
292751461;4455215;7184295;2021;N;10;99;50;11310002.0;16922.0;SP;53586.06;0.0;99;0.0;20210304;20210524;20210201;20210201
292751503;4455264;7184337;2021;N;10;99;50;11310002.0;51509.0;MT;8845.73;8845.73;99;0.0;20210203;20210427;20210110;20210110
292751503;22483868;7184337;2021;N;10;99;50;11310002.0;51509.0;MT;1000.0;1000.0;99;0.0;20210224;00000000;20210215;20210215
292751642;4455409;7184476;2021;N;10;99;50;11310002.0;38601.0;PR;11817.75;1772.81;99;0.0;20210309;20210519;20210227;20210227
292751644;22483869;7184478;2021;N;10;99;50;11310002.0;36373.0;GO;131960.65;438.45;99;0.0;20210419;20210930;20210417;20210417
292751702;4455470;7184536;2021;N;10;99;999;11040004.0;21230.0;RS;666.0;666.0;99;29000.0;20210329;20210623;20210325;20210325
