FEATURE_MODEL,COEFICIENTE,ABS_COEFICIENTE,ODDS_RATIO,FAMILIA
cat__UF_CE,-1.2390192731002736,1.2390192731002736,0.2896681640399705,ESTRUTURA
cat__UF_PR,1.0695987989845213,1.0695987989845213,2.9142100813627536,ESTRUTURA
cat__COD_MOD_70,0.9922240709673775,0.9922240709673775,2.6972266298273464,ESTRUTURA
cat__UF_RN,-0.9476429035505831,0.9476429035505831,0.3876536845402773,ESTRUTURA
cat__UF_SC,0.9022415492311263,0.9022415492311263,2.4651226164299573,ESTRUTURA
cat__UF_AC,-0.843738584044113,0.843738584044113,0.430099550609533,ESTRUTURA
cat__UF_infrequent_sklearn,-0.8369841556416181,0.8369841556416181,0.4330144604228206,ESTRUTURA
cat__UF_RR,-0.7862227220228706,0.7862227220228706,0.45556233500296167,ESTRUTURA
cat__UF_PE,-0.7396345723296022,0.7396345723296022,0.47728829800785005,ESTRUTURA
cat__UF_RO,0.7311840582117525,0.7311840582117525,2.0775390791071016,ESTRUTURA
cat__UF_RS,0.6850331801738588,0.6850331801738588,1.9838376585235624,ESTRUTURA
cat__UF_MT,0.6729037285673636,0.6729037285673636,1.9599201420637817,ESTRUTURA
cat__COD_MOD_50,-0.6618489553800921,0.6618489553800921,0.5158965823551286,ESTRUTURA
cat__UF_MS,0.6601429319297949,0.6601429319297949,1.935068897768537,ESTRUTURA
cat__UF_AL,0.6249630630388214,0.6249630630388214,1.8681769513782656,ESTRUTURA
cat__UF_RJ,-0.5730879667247529,0.5730879667247529,0.5637818084844114,ESTRUTURA
cat__UF_SE,-0.5689237540763727,0.5689237540763727,0.566134410790729,ESTRUTURA
cat__UF_00,0.5626714738507821,0.5626714738507821,1.7553556287443186,ESTRUTURA
cat__UF_GO,0.5336962897568478,0.5336962897568478,1.7052236749018386,ESTRUTURA
cat__COD_MOD_infrequent_sklearn,-0.47541031812703877,0.47541031812703877,0.6216299380968427,ESTRUTURA
cat__UF_TO,0.42776093096585377,0.42776093096585377,1.5338193484219467,ESTRUTURA
cat__UF_PI,-0.3474338408812074,0.3474338408812074,0.7064987537183888,ESTRUTURA
cat__UF_PB,-0.3370801613528427,0.3370801613528427,0.7138516142979787,ESTRUTURA
cat__UF_PA,0.3116636982128315,0.3116636982128315,1.3656953300112968,ESTRUTURA
cat__UF_MA,0.3083543311011773,0.3083543311011773,1.3611832130453876,ESTRUTURA
num__TEMP_MEDIA_D1_C,0.2662906626614158,0.2662906626614158,1.3051143515719976,CLIMA
num__LOG1P_HIST_N_TOTAL,0.19922364490820746,0.19922364490820746,1.2204548839008558,HISTORICO
cat__UF_BA,-0.18743621290763737,0.18743621290763737,0.8290820012239429,ESTRUTURA
cat__UF_AM,-0.1752028031009448,0.1752028031009448,0.8392867935441735,ESTRUTURA
num__UMIDADE_D1_PCT_SQ,-0.14878633418228962,0.14878633418228962,0.8617532224364505,CLIMA
num__TEMP_AMPLITUDE_D1_C,0.13533451986123052,0.13533451986123052,1.1449197186835878,CLIMA
num__DOY_COS,-0.12393411234048389,0.12393411234048389,0.8834380466304296,CLIMA
num__TEMP_MEDIA_D1_C_SQ,-0.09605303968960195,0.09605303968960195,0.9084158326971061,CLIMA
cat__UF_ES,-0.09424852793898439,0.09424852793898439,0.9100565596519701,ESTRUTURA
num__LOG1P_HIST_N_365D,0.07853418789963851,0.07853418789963851,1.0817003355926438,HISTORICO
num__UMIDADE_D1_PCT,0.06410283435342298,0.06410283435342298,1.0662020353211268,CLIMA
num__LOG1P_HIST_DIAS_DESDE_ULT,-0.05575075261225374,0.05575075261225374,0.9457748384229289,HISTORICO
num__LOG1P_CHUVA_30D,0.05203255464031768,0.05203255464031768,1.053410035339974,CLIMA
num__ALTITUDE_ML_M,0.04782503560229946,0.04782503560229946,1.0489871038706295,CLIMA
num__TEMP_AMPLITUDE_D1_C_SQ,-0.04717722577080256,0.04717722577080256,0.9539183236984882,CLIMA
num__LOG1P_CHUVA_7D,0.04714002051888779,0.04714002051888779,1.048268777942311,CLIMA
cat__COD_MOD_60,-0.03856313847901679,0.03856313847901679,0.9621709528114308,ESTRUTURA
num__DOY_SIN,0.032117313118197245,0.032117313118197245,1.0326386402584797,CLIMA
num__VENTO_D1_MS,0.027169141492462856,0.027169141492462856,1.0275415879836884,CLIMA
num__LOG1P_PRECIP_D1,-0.016530993566551803,0.016530993566551803,0.9836048934945143,CLIMA
cat__UF_MG,0.015359327934440541,0.015359327934440541,1.0154778886382567,ESTRUTURA
num__HIST_TEM_ANT,0.012784253913750489,0.012784253913750489,1.0128663218406555,HISTORICO
cat__UF_DF,-0.00652154350983637,0.00652154350983637,0.9934996756028593,ESTRUTURA
num__LOG1P_HIST_N_90D,-0.006264531930030836,0.006264531930030836,0.9937550493396203,HISTORICO
cat__UF_SP,-0.005994681799490476,0.005994681799490476,0.9940232504548352,ESTRUTURA
