DT_REFERENCIA,COD_MOD,UF,PRECIPITACAO_D1_MM,CHUVA_7D_MM,CHUVA_30D_MM,TEMP_MEDIA_D1_C,TEMP_MAX_D1_C,TEMP_MIN_D1_C,UMIDADE_D1_PCT,VENTO_D1_MS,ALTITUDE_ML_M,HIST_ITEM_SAFE_N_TOTAL,HIST_ITEM_SAFE_TEM_ANT,HIST_ITEM_SAFE_DIAS_DESDE_ULT,HIST_ITEM_SAFE_N_90D,HIST_ITEM_SAFE_N_365D,PROBA_ESPERADA,SCORE_RELATIVO_ESPERADO
2020-07-27,50,SP,0.0,0.0,0.6000000000000001,19.933333333333334,30.6,11.1,54.625,0.975,534.36,0.0,0,,0.0,0.0,0.05127686556740283,10.628174153148267
2020-03-09,50,MT,0.6,33.800000000000004,444.4,25.77391304347826,31.3,22.5,82.82608695652173,0.6652173913043479,365.39,0.0,0,,0.0,0.0,0.08967308345568543,38.11531318311063
2020-10-14,50,MS,0.0,9.4,17.8,28.825,34.8,22.8,48.125,2.2083333333333335,528.47,0.0,0,,0.0,0.0,0.10729674434290648,52.66259060204131
2020-11-28,50,SC,7.999999999999999,7.999999999999999,51.800000000000004,20.833333333333332,27.7,18.1,82.875,3.220833333333333,878.74,0.0,0,,0.0,0.0,0.08360722946916968,32.84930065907336
2020-07-27,60,MG,0.0,0.0,0.0,18.995833333333334,26.1,12.4,57.541666666666664,,1025.0,0.0,0,,0.0,0.0,0.08733575769391504,36.11754844435679
2020-08-01,50,SC,0.0,22.200000000000003,81.6,13.975000000000001,19.7,10.4,70.54166666666667,4.145833333333333,807.54,0.0,0,,0.0,0.0,0.10045104548323895,47.675985733773814
2020-11-08,50,PR,0.0,0.0,13.0,21.266666666666666,30.4,12.6,36.875,4.458333333333333,966.06,0.0,0,,0.0,0.0,0.13800087555632687,66.8606084512598
2020-02-03,70,SP,5.6,53.6,116.8,23.608333333333334,29.7,21.7,88.625,0.4458333333333333,443.49,0.0,0,,0.0,0.0,0.16322938259070555,75.64962279966471
2020-11-24,70,RS,0.0,13.599999999999998,75.60000000000001,21.26666666666667,29.5,14.5,57.833333333333336,3.5,833.83,0.0,0,,0.0,0.0,0.3559397149095072,94.31323241786237
2020-02-22,50,RS,0.0,11.799999999999999,29.599999999999998,17.558333333333334,23.4,13.5,,5.25,13.0,0.0,0,,0.0,0.0,0.06666550052751104,20.345808063376232
2020-02-04,50,SC,0.2,67.4,147.59999999999997,20.291666666666668,27.5,15.2,76.04166666666667,1.3833333333333335,944.26,0.0,0,,0.0,0.0,0.10517739514407252,51.31485955656362
2020-03-03,50,SC,0.0,59.2,95.6,18.579166666666666,26.0,14.0,65.125,4.5874999999999995,966.06,0.0,0,,0.0,0.0,0.1183613574786599,58.59589435103463
2020-10-06,50,SP,0.0,0.0,14.6,23.837500000000002,35.9,18.9,64.54166666666667,2.3833333333333333,785.64,0.0,0,,0.0,0.0,0.051466135334524765,10.743224364347583
2020-07-03,50,SP,0.0,100.2,122.8,10.970833333333333,19.5,3.3,79.16666666666667,0.6708333333333334,675.68,0.0,0,,0.0,0.0,0.04157825199746843,4.797593807011489
2020-08-31,50,GO,0.0,0.0,0.0,26.770833333333332,36.1,18.5,30.666666666666668,0.9500000000000001,678.74,0.0,0,,0.0,0.0,0.09804377619560944,45.64370593166017
2020-01-21,50,RS,0.0,45.0,113.0,24.683333333333334,30.6,20.0,67.20833333333333,2.629166666666667,660.44,0.0,0,,0.0,0.0,0.0949922619519562,43.01398681853294
2020-06-30,70,SC,2.4,19.599999999999998,175.99999999999997,14.858333333333334,16.1,13.3,94.66666666666667,0.30833333333333335,72.24,0.0,0,,0.0,0.0,0.26196937421608923,90.83296352908306
2020-07-07,50,RS,0.0,69.80000000000001,175.4,16.770833333333332,17.3,15.9,95.58333333333333,1.2416666666666665,489.42,0.0,0,,0.0,0.0,0.0599792442380244,16.426704797593807
2020-02-04,60,MT,8.4,40.599999999999994,146.6,29.430434782608696,35.5,25.1,63.869565217391305,1.6217391304347826,241.56,0.0,0,,0.0,0.0,0.1717738204700563,78.02951859704486
2020-10-27,60,MT,0.0,9.200000000000001,82.4,31.329166666666666,41.9,21.6,60.458333333333336,1.6416666666666666,334.36,0.0,0,,0.0,0.0,0.2084875830057392,84.8643229295071
2020-05-25,50,PR,1.0,149.60000000000002,170.60000000000002,12.779166666666667,17.9,9.7,82.625,2.3333333333333335,392.07,0.0,0,,0.0,0.0,0.10089221448051287,48.06880002629719
2020-03-18,60,RS,0.0,6.0,32.8,21.158333333333335,27.9,15.6,,3.0500000000000003,13.0,0.0,0,,0.0,0.0,0.14074809427668544,67.96591226599608
2020-08-11,50,PR,0.0,0.0,8.8,22.945833333333336,29.4,15.8,37.625,1.6166666666666665,548.51,0.0,0,,0.0,0.0,0.14873808094979335,70.90873231103004
2020-07-24,60,MG,0.0,0.0,0.0,20.1375,26.0,14.6,49.541666666666664,2.720833333333333,1018.32,0.0,0,,0.0,0.0,0.09109459714408885,39.532896142530774
2020-07-29,50,RS,13.0,25.0,401.79999999999995,12.120833333333332,19.7,6.6,88.0,2.525,272.84,0.0,0,,0.0,0.0,0.06738847989360319,20.788751376493597
